[DOMAIN:标签] [CAT:物品/动物] mammal | 哺乳动物
[DOMAIN:标签] [CAT:物品/其他物品] sacred_heart | 圣心
[DOMAIN:标签] [CAT:物品/其他物品] life_fiber | 生命纤维
[DOMAIN:标签] [CAT:物品/其他物品] key_in_head | 头部插钥匙
[DOMAIN:标签] [CAT:物品/其他物品] extra_hands | 额外援手
[DOMAIN:标签] [CAT:物品/其他物品] propaganda | 宣传
[DOMAIN:标签] [CAT:物品/其他物品] swimsuit_hanger | 泳衣衣架
[DOMAIN:标签] [CAT:物品/武器] two-handed_sword | 双手剑
[DOMAIN:标签] [CAT:物品/动物] seahorse | 海马
[DOMAIN:标签] [CAT:物品/食物] bread_bun | 面包卷
[DOMAIN:标签] [CAT:物品/其他物品] wax | 蜡
[DOMAIN:标签] [CAT:物品/动物] giant_snake | 巨蛇
[DOMAIN:标签] [CAT:物品/动物] vileplume | 霸王花
[DOMAIN:标签] [CAT:物品/其他物品] clock_hands | 钟表指针
[DOMAIN:标签] [CAT:物品/动物] frozen_frog | 冰冻青蛙
[DOMAIN:标签] [CAT:物品/数码设备] walkman | 随身听
[DOMAIN:标签] [CAT:物品/其他物品] kendama | 剑玉
[DOMAIN:标签] [CAT:物品/其他物品] fossil | 化石
[DOMAIN:标签] [CAT:物品/其他物品] shrine_bell | 神社铃
[DOMAIN:标签] [CAT:物品/动物] volcarona | 火神蛾
[DOMAIN:标签] [CAT:物品/动物] toxtricity | 颤弦蝾螈
[DOMAIN:标签] [CAT:物品/动物] lurantis | 兰螳花
[DOMAIN:标签] [CAT:排除/兽化非人] robot_dragon | 机器龙
[DOMAIN:标签] [CAT:物品/其他物品] drainpipe | 排水管
[DOMAIN:标签] [CAT:物品/其他物品] pokemon_on_back | 背负宝可梦
[DOMAIN:标签] [CAT:物品/其他物品] mosquito_coil | 蚊香
[DOMAIN:标签] [CAT:物品/其他物品] chain_chomp | 汪汪链球
[DOMAIN:标签] [CAT:物品/数码设备] microsoft | 微软
[DOMAIN:标签] [CAT:物品/其他物品] wardrobe | 衣橱
[DOMAIN:标签] [CAT:物品/武器] mac-10/11 | MAC-10/11冲锋枪
[DOMAIN:标签] [CAT:物品/动物] fletchling | 小箭雀
[DOMAIN:标签] [CAT:物品/其他物品] octagram | 八角星
[DOMAIN:标签] [CAT:物品/其他物品] formula_one | 一级方程式赛车
[DOMAIN:标签] [CAT:物品/植物] tail_flower | 尾花
[DOMAIN:标签] [CAT:物品/数码设备] samsung | 三星
[DOMAIN:标签] [CAT:物品/其他物品] streetcar | 有轨电车
[DOMAIN:标签] [CAT:物品/动物] swallow_(bird) | 燕子
[DOMAIN:标签] [CAT:物品/其他物品] table_tennis_ball | 乒乓球
[DOMAIN:标签] [CAT:物品/其他物品] ceiling_fan | 吊扇
[DOMAIN:标签] [CAT:物品/食物] jack_daniel's | 杰克丹尼
[DOMAIN:标签] [CAT:物品/其他物品] tetris | 俄罗斯方块
[DOMAIN:标签] [CAT:物品/其他物品] heavy_metal | 重金属
[DOMAIN:标签] [CAT:物品/其他物品] porsche | 保时捷
[DOMAIN:标签] [CAT:物品/其他物品] mahjong_table | 麻将桌
[DOMAIN:标签] [CAT:物品/其他物品] cigarette_butt | 烟蒂
[DOMAIN:标签] [CAT:物品/其他物品] pornhub | Pornhub
[DOMAIN:标签] [CAT:物品/武器] unworn_armor | 未穿着盔甲
[DOMAIN:标签] [CAT:物品/其他物品] rabbit_ornament | 兔子装饰
[DOMAIN:标签] [CAT:物品/其他物品] cat-shaped_pillow | 猫形抱枕
[DOMAIN:标签] [CAT:物品/其他物品] decantering | 换瓶醒酒
[DOMAIN:标签] [CAT:物品/餐具] plate_stack | 盘子堆叠
[DOMAIN:标签] [CAT:物品/动物] tit_(bird) | 山雀（鸟类）
[DOMAIN:标签] [CAT:物品/其他物品] chaos_emerald | 混沌翡翠
[DOMAIN:标签] [CAT:物品/其他物品] cleaning_brush | 清洁刷
[DOMAIN:标签] [CAT:物品/其他物品] toy_gun | 玩具枪
[DOMAIN:标签] [CAT:物品/武器] saw_cleaver | 锯肉刀
[DOMAIN:标签] [CAT:物品/食物] meatball | 肉丸
[DOMAIN:标签] [CAT:物品/其他物品] spike_ball | 刺球
[DOMAIN:标签] [CAT:物品/动物] husky | 哈士奇
[DOMAIN:标签] [CAT:物品/其他物品] uno_(game) | 乌诺（游戏）
[DOMAIN:标签] [CAT:物品/食物] 100_percent_orange_juice | 100%橙汁
[DOMAIN:标签] [CAT:物品/数码设备] google | 谷歌
[DOMAIN:标签] [CAT:物品/武器] enkidu_(weapon)_(fate) | 恩奇都（武器）（Fate）
[DOMAIN:标签] [CAT:物品/武器] kagune_(tokyo_ghoul) | 赫子（东京喰种）
[DOMAIN:标签] [CAT:物品/动物] scorpion | 蝎子
[DOMAIN:标签] [CAT:物品/其他物品] lid | 盖子
[DOMAIN:标签] [CAT:物品/其他物品] firecrackers | 爆竹
[DOMAIN:标签] [CAT:物品/植物] turnip | 芜菁
[DOMAIN:标签] [CAT:物品/动物] bluebird | 蓝知更鸟
[DOMAIN:标签] [CAT:物品/其他物品] sewing_machine | 缝纫机
[DOMAIN:标签] [CAT:物品/数码设备] game_cartridge | 游戏卡带
[DOMAIN:标签] [CAT:物品/乐器] fender_precision_bass | 芬达精贝斯
[DOMAIN:标签] [CAT:物品/其他物品] urine_meter | 尿液计量器
[DOMAIN:标签] [CAT:物品/食物] yukadon | 汤豆腐
[DOMAIN:标签] [CAT:物品/动物] sweets_bird | 甜点鸟
[DOMAIN:标签] [CAT:物品/其他物品] badminton_racket | 羽毛球拍
[DOMAIN:标签] [CAT:物品/乐器] ukulele | 尤克里里
[DOMAIN:标签] [CAT:物品/武器] folding_stock | 折叠枪托
[DOMAIN:标签] [CAT:物品/食物] green_pepper | 青椒
[DOMAIN:标签] [CAT:物品/食物] sitrus_berry | 橙橙果
[DOMAIN:标签] [CAT:物品/食物] banana_slice | 香蕉片
[DOMAIN:标签] [CAT:物品/武器] uzi | 乌兹冲锋枪
[DOMAIN:标签] [CAT:物品/其他物品] clockwork | 发条装置
[DOMAIN:标签] [CAT:物品/其他物品] saunders_(emblem) | 桑德斯（徽章）
[DOMAIN:标签] [CAT:物品/其他物品] quimbaya_airplane | 金巴亚飞机
[DOMAIN:标签] [CAT:物品/其他物品] ferrari | 法拉利
[DOMAIN:标签] [CAT:物品/其他物品] block_(minecraft) | 方块（我的世界）
[DOMAIN:标签] [CAT:物品/其他物品] nobori | 旗幅
[DOMAIN:标签] [CAT:物品/其他物品] lasso | 套索
[DOMAIN:标签] [CAT:物品/食物] stuffed_eggplant | 酿茄子
[DOMAIN:标签] [CAT:物品/其他物品] crab_on_head | 头顶螃蟹
[DOMAIN:标签] [CAT:物品/植物] garlic | 大蒜
[DOMAIN:标签] [CAT:物品/成人玩具] breast_pump | 吸奶器
[DOMAIN:标签] [CAT:物品/其他物品] death_note_(object) | 死亡笔记（物品）
[DOMAIN:标签] [CAT:物品/数码设备] video_call | 视频通话
[DOMAIN:标签] [CAT:物品/食物] chicken_nuggets | 鸡块
[DOMAIN:标签] [CAT:物品/武器] rpg-7 | 火箭推进榴弹
[DOMAIN:标签] [CAT:物品/其他物品] rope_around_neck | 颈绕绳索
[DOMAIN:标签] [CAT:物品/其他物品] rowboat | rowboat: 划艇
[DOMAIN:标签] [CAT:物品/其他物品] shichirin | 七轮
[DOMAIN:标签] [CAT:物品/其他物品] jack_(playing_card) | 杰克（扑克牌）
[DOMAIN:标签] [CAT:物品/武器] skyward_sword | 天空之剑
[DOMAIN:标签] [CAT:物品/其他物品] money_bag | 钱袋
[DOMAIN:标签] [CAT:物品/食物] doritos | 多力多滋
[DOMAIN:标签] [CAT:物品/其他物品] luxury_ball | 豪华球
[DOMAIN:标签] [CAT:物品/其他物品] incense_burner | 香炉
[DOMAIN:标签] [CAT:物品/其他物品] rainbow_flag | 彩虹旗
[DOMAIN:标签] [CAT:物品/其他物品] railroad_signal | 铁路信号灯
[DOMAIN:标签] [CAT:物品/武器] cheytac_m200 | 切塔克M200
[DOMAIN:标签] [CAT:物品/食物] nattou | 纳豆
[DOMAIN:标签] [CAT:物品/食物] guarana_antarctica | 南极瓜拉纳
[DOMAIN:标签] [CAT:物品/其他物品] piston | 活塞
[DOMAIN:标签] [CAT:物品/其他物品] sandstar | 沙星
[DOMAIN:标签] [CAT:物品/其他物品] stance_(vehicle) | 低趴姿态（车辆）
[DOMAIN:标签] [CAT:物品/食物] beef | 牛肉
[DOMAIN:标签] [CAT:物品/其他物品] green_innertube | 绿色游泳圈
[DOMAIN:标签] [CAT:物品/动物] sabotender | 仙人刺
[DOMAIN:标签] [CAT:排除/猎奇血腥] knife_in_head | 头插刀
[DOMAIN:标签] [CAT:物品/武器] mine_(weapon) | 地雷（武器）
[DOMAIN:标签] [CAT:物品/成人玩具] nipple_press | 乳头夹
[DOMAIN:标签] [CAT:物品/食物] leek | 韭葱
[DOMAIN:标签] [CAT:物品/动物] purrloin | 扒手猫
[DOMAIN:标签] [CAT:物品/动物] oricorio | 铳嘴大鸟
[DOMAIN:标签] [CAT:物品/其他物品] gondola | 贡多拉
[DOMAIN:标签] [CAT:物品/其他物品] rocking_chair | 摇椅
[DOMAIN:标签] [CAT:物品/食物] peanut | 花生
[DOMAIN:标签] [CAT:物品/食物] waffle_cone | 华夫筒
[DOMAIN:标签] [CAT:物品/成人玩具] vibrator_in_anus | 肛门震动棒
[DOMAIN:标签] [CAT:物品/其他物品] muscle_car | 肌肉车
[DOMAIN:标签] [CAT:物品/其他物品] animage | 动画杂志
[DOMAIN:标签] [CAT:物品/植物] willow | 柳树
[DOMAIN:标签] [CAT:物品/其他物品] ashes | 灰烬
[DOMAIN:标签] [CAT:物品/植物] dahlia | 大丽花
[DOMAIN:标签] [CAT:物品/其他物品] jack-o'-lantern_ornament | 南瓜灯装饰
[DOMAIN:标签] [CAT:物品/其他物品] headboard | 床头板
[DOMAIN:标签] [CAT:物品/其他物品] alchemy | 炼金术
[DOMAIN:标签] [CAT:物品/其他物品] condenser_unit | 冷凝机组
[DOMAIN:标签] [CAT:物品/其他物品] shogi_piece | 将棋棋子
[DOMAIN:标签] [CAT:物品/数码设备] playstation_5 | PlayStation 5
[DOMAIN:标签] [CAT:物品/食物] wafer | 威化饼
[DOMAIN:标签] [CAT:物品/数码设备] tiktok | 抖音
[DOMAIN:标签] [CAT:物品/其他物品] card_game | 卡牌游戏
[DOMAIN:标签] [CAT:物品/植物] daisy_(flower) | 雏菊（花卉）
[DOMAIN:标签] [CAT:物品/其他物品] rolling_pin | 擀面杖
[DOMAIN:标签] [CAT:物品/食物] blue_hawaii | 蓝色夏威夷
[DOMAIN:标签] [CAT:物品/动物] ape | 猿类
[DOMAIN:标签] [CAT:物品/其他物品] claw_hammer | 羊角锤
[DOMAIN:标签] [CAT:物品/数码设备] floppy_disk | 软盘
[DOMAIN:标签] [CAT:物品/食物] softboiled_egg | 溏心蛋
[DOMAIN:标签] [CAT:物品/其他物品] tennis_net | 网球网
[DOMAIN:标签] [CAT:物品/其他物品] dragonstone | 龙石
[DOMAIN:标签] [CAT:物品/数码设备] e16a_zuiun | 瑞云E16A水上飞机
[DOMAIN:标签] [CAT:物品/植物] fly_agaric | 毒蝇伞
[DOMAIN:标签] [CAT:物品/其他物品] inkbrush_(splatoon) | 毛笔刷（Splatoon）
[DOMAIN:标签] [CAT:物品/其他物品] bowling_ball | 保龄球
[DOMAIN:标签] [CAT:物品/其他物品] circuit_board | 电路板
[DOMAIN:标签] [CAT:物品/武器] suomi_kp/-31 | 索米KP/-31冲锋枪
[DOMAIN:标签] [CAT:物品/其他物品] slot_machine | 老虎机
[DOMAIN:标签] [CAT:物品/成人玩具] wireless_sex_toy_controller | 无线情趣玩具控制器
[DOMAIN:标签] [CAT:物品/其他物品] red_flag | 红旗
[DOMAIN:标签] [CAT:物品/其他物品] rake | 耙子
[DOMAIN:标签] [CAT:物品/食物] food_writing | 食物文字
[DOMAIN:标签] [CAT:物品/动物] black_panther | 黑豹
[DOMAIN:标签] [CAT:物品/其他物品] celtic_cross | 凯尔特十字
[DOMAIN:标签] [CAT:物品/其他物品] skis | 滑雪板
[DOMAIN:标签] [CAT:物品/乐器] french_horn | 法国号
[DOMAIN:标签] [CAT:物品/食物] sesame_seeds | 芝麻籽
[DOMAIN:标签] [CAT:物品/餐具] soy_sauce_bottle | 酱油瓶
[DOMAIN:标签] [CAT:物品/武器] spas-12 | SPAS-12霰弹枪
[DOMAIN:标签] [CAT:物品/成人玩具] sex_toy_pull | 情趣玩具拉扯
[DOMAIN:标签] [CAT:物品/植物] chinese_lantern_(plant) | 灯笼果（植物）
[DOMAIN:标签] [CAT:物品/成人玩具] over_the_nose_gag | 遮鼻布
[DOMAIN:标签] [CAT:物品/食物] yakiniku | 烧肉
[DOMAIN:标签] [CAT:物品/其他物品] dollar_bill | 美元纸币
[DOMAIN:标签] [CAT:物品/数码设备] entry_plug | 插入栓
[DOMAIN:标签] [CAT:物品/食物] fruit_bowl | 水果碗
[DOMAIN:标签] [CAT:物品/数码设备] power_strip | 插线板
[DOMAIN:标签] [CAT:物品/乐器] accordion | 手风琴
[DOMAIN:标签] [CAT:物品/乐器] music_stand | 乐谱架
[DOMAIN:标签] [CAT:物品/食物] dog_food | 狗粮
[DOMAIN:标签] [CAT:物品/武器] splattershot_jr._(splatoon) | 专业模型枪（斯普拉遁）
[DOMAIN:标签] [CAT:物品/数码设备] phone_with_ears | 带耳朵手机
[DOMAIN:标签] [CAT:物品/武器] browning_m2 | 勃朗宁M2
[DOMAIN:标签] [CAT:物品/食物] ice_cream_bar | 雪糕棒
[DOMAIN:标签] [CAT:物品/乐器] erhu | 二胡
[DOMAIN:标签] [CAT:物品/食物] yuzu_(fruit) | 柚子（水果）
[DOMAIN:标签] [CAT:物品/植物] maple_tree | 枫树
[DOMAIN:标签] [CAT:物品/食物] wrapped_bento | 包裹便当
[DOMAIN:标签] [CAT:物品/动物] isopod | 等足目
[DOMAIN:标签] [CAT:物品/其他物品] exhaust_pipe | 排气管
[DOMAIN:标签] [CAT:物品/其他物品] spoken_light_bulb | 会说话的电灯泡
[DOMAIN:标签] [CAT:物品/动物] cteno | 栉水母
[DOMAIN:标签] [CAT:物品/其他物品] no_smoking | 禁止吸烟
[DOMAIN:标签] [CAT:物品/其他物品] selection_university_(emblem) | 选拔大学（徽章）
[DOMAIN:标签] [CAT:排除/猎奇血腥] raw_meat | 生肉
[DOMAIN:标签] [CAT:物品/动物] hermit_crab | 寄居蟹
[DOMAIN:标签] [CAT:物品/其他物品] ouroboros | 衔尾蛇
[DOMAIN:标签] [CAT:物品/武器] jian_(weapon) | 剑（武器）
[DOMAIN:标签] [CAT:物品/植物] lunar_tear | 月之泪
[DOMAIN:标签] [CAT:物品/其他物品] stake | 桩
[DOMAIN:标签] [CAT:物品/其他物品] transgender_flag | 跨性别旗帜
[DOMAIN:标签] [CAT:物品/数码设备] desktop_(computing) | 桌面（计算机）
[DOMAIN:标签] [CAT:物品/其他物品] minecraft_pickaxe | 我的世界镐
[DOMAIN:标签] [CAT:物品/武器] bolter | 爆弹枪
[DOMAIN:标签] [CAT:物品/餐具] teaspoon | 茶匙
[DOMAIN:标签] [CAT:物品/武器] sword_of_dios | 迪奥斯之剑
[DOMAIN:标签] [CAT:物品/其他物品] canards | 鸭翼
[DOMAIN:标签] [CAT:物品/其他物品] spoken_symbol | 语音符号
[DOMAIN:标签] [CAT:物品/武器] airgetlam_(fate) | 神臂（Fate）
[DOMAIN:标签] [CAT:物品/其他物品] frisbee | 飞盘
[DOMAIN:标签] [CAT:物品/武器] bola_(weapon) | 流星锤（武器）
[DOMAIN:标签] [CAT:物品/其他物品] voodoo_doll | 巫毒娃娃
[DOMAIN:标签] [CAT:物品/其他物品] powered_wheelchair | 电动轮椅
[DOMAIN:标签] [CAT:物品/其他物品] master_ball | 大师球
[DOMAIN:标签] [CAT:物品/其他物品] stirrups_(riding) | 马镫（骑乘）
[DOMAIN:标签] [CAT:物品/食物] green_apple | 青苹果
[DOMAIN:标签] [CAT:物品/植物] comic_anthurium | 漫画安祖花
[DOMAIN:标签] [CAT:物品/学习用品] science | 科学
[DOMAIN:标签] [CAT:物品/食物] pecha_berry | 桃桃果
[DOMAIN:标签] [CAT:物品/武器] muzzle_device | 枪口装置
[DOMAIN:标签] [CAT:物品/其他物品] record_player | 留声机
[DOMAIN:标签] [CAT:物品/动物] siamese_cat | 暹罗猫
[DOMAIN:标签] [CAT:物品/动物] white_wolf | 白狼
[DOMAIN:标签] [CAT:物品/食物] mapo_tofu | 麻婆豆腐
[DOMAIN:标签] [CAT:物品/其他物品] doughnut_innertube | 甜甜圈游泳圈
[DOMAIN:标签] [CAT:物品/武器] pile_bunker | 冲击桩
[DOMAIN:标签] [CAT:物品/其他物品] fishing_net | 渔网
[DOMAIN:标签] [CAT:物品/武器] h&k_psg1 | H&K PSG1狙击步枪
[DOMAIN:标签] [CAT:物品/其他物品] figure_available | 可入手手办
[DOMAIN:标签] [CAT:物品/其他物品] corked_bottle | 软木塞瓶
[DOMAIN:标签] [CAT:物品/武器] zweihander | 双手剑
[DOMAIN:标签] [CAT:物品/数码设备] wireless | 无线
[DOMAIN:标签] [CAT:物品/其他物品] hover_bike | 悬浮摩托
[DOMAIN:标签] [CAT:物品/其他物品] portal_1 | 传送门1
[DOMAIN:标签] [CAT:物品/其他物品] framed_picture | 带框画作
[DOMAIN:标签] [CAT:物品/其他物品] display | 显示
[DOMAIN:标签] [CAT:物品/食物] orange_peel | 橙皮
[DOMAIN:标签] [CAT:物品/其他物品] robot_arm | 机械臂
[DOMAIN:标签] [CAT:物品/其他物品] toy_block | 积木
[DOMAIN:标签] [CAT:物品/食物] scone | 司康饼
[DOMAIN:标签] [CAT:物品/其他物品] keychain | 钥匙扣
[DOMAIN:标签] [CAT:物品/餐具] broken_plate | 碎盘子
[DOMAIN:标签] [CAT:物品/武器] h&k_g36 | H&K G36步枪
[DOMAIN:标签] [CAT:物品/其他物品] stepladder | 活梯
[DOMAIN:标签] [CAT:物品/食物] french_cruller | 法式糖霜麻花卷
[DOMAIN:标签] [CAT:排除/性行为] cum_on_food | 精液沾染食物
[DOMAIN:标签] [CAT:物品/武器] splat_charger_(splatoon) | 斯普拉蓄力狙击枪（斯普拉遁）
[DOMAIN:标签] [CAT:物品/乐器] double_bass | 低音提琴
[DOMAIN:标签] [CAT:物品/动物] sphinx | 斯芬克斯
[DOMAIN:标签] [CAT:物品/食物] food_bowl | 食盆
[DOMAIN:标签] [CAT:物品/其他物品] lamborghini | 兰博基尼
[DOMAIN:标签] [CAT:物品/成人玩具] dildo_gag | 假阳具口塞
[DOMAIN:标签] [CAT:物品/食物] grilled_eel | 烤鳗鱼
[DOMAIN:标签] [CAT:物品/动物] hoso-inu | 细犬
[DOMAIN:标签] [CAT:物品/其他物品] under_umbrella | 伞下
[DOMAIN:标签] [CAT:物品/其他物品] graph | 图表
[DOMAIN:标签] [CAT:物品/武器] chainsword | 链锯剑
[DOMAIN:标签] [CAT:物品/其他物品] paper_doll | 纸娃娃
[DOMAIN:标签] [CAT:物品/食物] spilled_milk | 泼洒牛奶
[DOMAIN:标签] [CAT:物品/其他物品] miniature | 微缩模型
[DOMAIN:标签] [CAT:物品/其他物品] blue_heart | 蓝色爱心
[DOMAIN:标签] [CAT:物品/数码设备] super_famicom | 超级任天堂
[DOMAIN:标签] [CAT:物品/食物] ham | 火腿
[DOMAIN:标签] [CAT:物品/其他物品] golf | 高尔夫
[DOMAIN:标签] [CAT:物品/武器] howa_type_89 | 丰和89式
[DOMAIN:标签] [CAT:物品/动物] sunday_silence_(racehorse) | 周日宁静（赛马）
[DOMAIN:标签] [CAT:物品/武器] rhongomyniad_(fate) | 伦戈米尼亚德（命运系列）
[DOMAIN:标签] [CAT:物品/数码设备] subaru_(brand) | 斯巴鲁（品牌）
[DOMAIN:标签] [CAT:物品/其他物品] framed_insect | 裱框昆虫
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_tiger | 毛绒老虎
[DOMAIN:标签] [CAT:物品/其他物品] double_helix | 双螺旋
[DOMAIN:标签] [CAT:物品/动物] paldean_wooper | 帕底亚乌波
[DOMAIN:标签] [CAT:物品/植物] fruits_basket | 水果篮子
[DOMAIN:标签] [CAT:物品/动物] too_many_birds | 鸟群过密
[DOMAIN:标签] [CAT:物品/植物] calla_lily | 马蹄莲
[DOMAIN:标签] [CAT:物品/武器] attack_helicopter | 攻击直升机
[DOMAIN:标签] [CAT:物品/武器] ak-74 | AK-74突击步枪
[DOMAIN:标签] [CAT:物品/其他物品] postcard | 明信片
[DOMAIN:标签] [CAT:物品/武器] battle_standard | 战旗
[DOMAIN:标签] [CAT:物品/其他物品] sentient_stuffed_toy | 有意识的毛绒玩具
[DOMAIN:标签] [CAT:物品/武器] ppsh-41 | 波波沙-41
[DOMAIN:标签] [CAT:物品/其他物品] gym_bag | 健身包
[DOMAIN:标签] [CAT:物品/武器] l85 | L85突击步枪
[DOMAIN:标签] [CAT:物品/其他物品] candle_wax | 蜡烛液
[DOMAIN:标签] [CAT:物品/数码设备] digivice | 数码器
[DOMAIN:标签] [CAT:物品/成人玩具] suction_cup_dildo | 吸盘假阳具
[DOMAIN:标签] [CAT:物品/动物] swanna | 首席天鹅
[DOMAIN:标签] [CAT:物品/植物] sunflower_seed | 葵花籽
[DOMAIN:标签] [CAT:物品/武器] stun_gun | 电击枪
[DOMAIN:标签] [CAT:物品/其他物品] globus_cruciger | 十字圣球
[DOMAIN:标签] [CAT:物品/食物] bitten_apple | 被咬的苹果
[DOMAIN:标签] [CAT:物品/动物] alligator | 短吻鳄
[DOMAIN:标签] [CAT:物品/食物] pepperoni | 意大利辣香肠
[DOMAIN:标签] [CAT:物品/其他物品] swedish_flag | 瑞典国旗
[DOMAIN:标签] [CAT:物品/植物] herb | 香草
[DOMAIN:标签] [CAT:物品/学习用品] textbook | 教科书
[DOMAIN:标签] [CAT:物品/动物] chameleon | 变色龙
[DOMAIN:标签] [CAT:物品/其他物品] toy_airplane | 玩具飞机
[DOMAIN:标签] [CAT:物品/其他物品] stuffed_orca | 填充虎鲸
[DOMAIN:标签] [CAT:物品/其他物品] picnic_blanket | 野餐毯
[DOMAIN:标签] [CAT:物品/武器] hatchet_(axe) | 手斧（斧）
[DOMAIN:标签] [CAT:物品/动物] toucan | 巨嘴鸟
[DOMAIN:标签] [CAT:物品/其他物品] lectern | 讲台
[DOMAIN:标签] [CAT:物品/食物] flour | 面粉
[DOMAIN:标签] [CAT:物品/武器] calamity_queller_(genshin_impact) | 灾厄肃清者（原神）
[DOMAIN:标签] [CAT:物品/植物] marijuana | 大麻
[DOMAIN:标签] [CAT:物品/动物] pal_(creature) | 帕鲁（生物）
[DOMAIN:标签] [CAT:物品/其他物品] muntins | 窗格条
[DOMAIN:标签] [CAT:物品/其他物品] mail | 邮件
[DOMAIN:标签] [CAT:物品/其他物品] mazda_rx-7 | 马自达RX-7
[DOMAIN:标签] [CAT:物品/其他物品] luggage | 行囊
[DOMAIN:标签] [CAT:物品/其他物品] itasha | 痛车
[DOMAIN:标签] [CAT:物品/其他物品] firewood | 柴火
[DOMAIN:标签] [CAT:排除/猎奇血腥] arrow_in_head | 头部中箭
[DOMAIN:标签] [CAT:物品/其他物品] black_car | 黑色汽车
[DOMAIN:标签] [CAT:物品/武器] ka-class_submarine | Ka级潜艇
[DOMAIN:标签] [CAT:物品/动物] nakigitsune's_fox | 鸣狐的狐狸
[DOMAIN:标签] [CAT:物品/其他物品] hiyoku_no_crosspiece | 比翼十字架
[DOMAIN:标签] [CAT:物品/其他物品] japanese_postal_mark | 日本邮便记号
[DOMAIN:标签] [CAT:物品/武器] thompson/center_contender | 汤普森/中心竞争者
[DOMAIN:标签] [CAT:物品/食物] chocolate_doughnut | 巧克力甜甜圈
[DOMAIN:标签] [CAT:物品/数码设备] pokegear | 宝可装置
[DOMAIN:标签] [CAT:物品/其他物品] hyottoko_mask | 丑男面具
[DOMAIN:标签] [CAT:物品/乐器] clarinet | 单簧管
[DOMAIN:标签] [CAT:物品/其他物品] volumen_hydragyrum_(fate) | 水银剑（Fate）
[DOMAIN:标签] [CAT:物品/动物] puffer_fish | 河豚
[DOMAIN:标签] [CAT:物品/武器] churchill_(tank) | 丘吉尔（坦克）
[DOMAIN:标签] [CAT:物品/动物] sea_slug | 海蛞蝓
[DOMAIN:标签] [CAT:物品/其他物品] raft | 木筏
[DOMAIN:标签] [CAT:物品/食物] maxim_tomato | 极大番茄
[DOMAIN:标签] [CAT:物品/武器] lanchester_smg | 兰彻斯特冲锋枪
[DOMAIN:标签] [CAT:物品/武器] famas | 法玛斯
[DOMAIN:标签] [CAT:物品/其他物品] yume_no_tsue | 梦之杖
[DOMAIN:标签] [CAT:物品/其他物品] black_gemstone | 黑色宝石
[DOMAIN:标签] [CAT:物品/其他物品] dive_ball | 潜水球
[DOMAIN:标签] [CAT:物品/武器] sword_sheath | 剑鞘
[DOMAIN:标签] [CAT:物品/乐器] synthesizer | 合成器
[DOMAIN:标签] [CAT:物品/数码设备] smartwatch | 智能手表
[DOMAIN:标签] [CAT:物品/餐具] hurricane_glass | 飓风杯
[DOMAIN:标签] [CAT:物品/数码设备] dvd_case | DVD盒
[DOMAIN:标签] [CAT:物品/学习用品] homework | 作业
[DOMAIN:标签] [CAT:物品/数码设备] videocassette | 录像带
[DOMAIN:标签] [CAT:物品/其他物品] sandbag | 沙袋
[DOMAIN:标签] [CAT:物品/武器] h&k_g3 | 黑克勒&科赫G3
[DOMAIN:标签] [CAT:物品/其他物品] eyewear_in_mouth | 眼镜含在嘴中
[DOMAIN:标签] [CAT:物品/其他物品] hidden_camera | 隐藏摄像头
[DOMAIN:标签] [CAT:物品/其他物品] punch-out!! | 拳无虚发！！
[DOMAIN:标签] [CAT:物品/其他物品] hatch | 舱门
[DOMAIN:标签] [CAT:物品/食物] daifuku | 大福
[DOMAIN:标签] [CAT:物品/武器] fin_funnels | 浮游飞翼炮
[DOMAIN:标签] [CAT:物品/武器] tsuba_(guard) | 镡（刀格）
[DOMAIN:标签] [CAT:物品/植物] planter | 花盆
[DOMAIN:标签] [CAT:物品/动物] wolpertinger | 鹿角兔
[DOMAIN:标签] [CAT:物品/其他物品] white_innertube | 白色游泳圈
[DOMAIN:标签] [CAT:物品/植物] fire_flower | 火焰花
[DOMAIN:标签] [CAT:物品/武器] fn_fal | FN FAL步枪
[DOMAIN:标签] [CAT:物品/其他物品] test_tube_rack | 试管架
[DOMAIN:标签] [CAT:物品/其他物品] bible_black | 黑暗圣经
[DOMAIN:标签] [CAT:物品/其他物品] flashbang | 闪光弹
[DOMAIN:标签] [CAT:物品/动物] samoyed_(dog) | 萨摩耶犬
[DOMAIN:标签] [CAT:物品/其他物品] clothes_rack | 衣架
[DOMAIN:标签] [CAT:物品/其他物品] print_pillow | 印花抱枕
[DOMAIN:标签] [CAT:物品/食物] souffle_pancake | 舒芙蕾松饼
[DOMAIN:标签] [CAT:物品/其他物品] cinderella_bust | 灰姑娘胸像
[DOMAIN:标签] [CAT:物品/学习用品] chemistry | 化学
[DOMAIN:标签] [CAT:物品/食物] oreo | 奥利奥
[DOMAIN:标签] [CAT:物品/数码设备] playstation_2 | PlayStation 2
[DOMAIN:标签] [CAT:物品/动物] hippopotamus | 河马
[DOMAIN:标签] [CAT:物品/数码设备] xbox_360 | Xbox 360
[DOMAIN:标签] [CAT:物品/武器] ragnell | 拉格内尔
[DOMAIN:标签] [CAT:物品/武器] sig_mcx | SIG MCX
[DOMAIN:标签] [CAT:物品/数码设备] wacom | 和冠
[DOMAIN:标签] [CAT:物品/其他物品] stirrups | 马镫
